pic,ror_id,confidence,source
125523173,01zqrxf85,high,openaire_direct
869529147,051ea1411,medium,openaire_domain_name
869763693,04pvpzj22,high,openaire_direct
870739707,01a44gd51,high,openaire_direct
871272528,03rdpn141,high,openaire_direct
872118659,00ttfz090,medium,openaire_domain_name
872148632,017b69w10,medium,openaire_domain_name
872232052,04yznqr36,medium,openaire_ambiguous_external
872459517,03padf885,medium,openaire_domain_fuzzy_name
872732766,01dbyc951,medium,openaire_domain_fuzzy_name
872808523,02pthyn77,high,openaire_direct
872851106,01zhpc307,high,openaire_direct
873388001,053t12b24,high,openaire_direct
873503625,05pw23b17,high,openaire_direct
873615272,01ahyrz84,high,openaire_direct
873782500,03q81ka58,high,openaire_direct
873979604,00g700j37,high,openaire_direct
874082618,01g4sny84,medium,openaire_domain_fuzzy_name
874170500,044t4x544,medium,openaire_ambiguous_external
874634160,04asdee31,high,openaire_direct
875489700,00vjb5165,high,openaire_direct
875581268,05amyt365,medium,openaire_domain_name
875605421,00dgdnb65,high,openaire_direct
875619777,01pd41442,medium,openaire_domain_name
875677201,00nnq2331,medium,openaire_domain_fuzzy_name
875679529,021bvd011,high,openaire_direct
875803592,0057w2a90,medium,openaire_domain_name
875852189,02y6wn132,medium,openaire_domain_name
875991966,05x7zk316,medium,openaire_domain_name
876131840,0051af203,high,openaire_direct
876228064,02xq0ba35,high,openaire_direct
876280735,042ft0a49,high,openaire_direct
876393352,05pw23b17,high,openaire_direct
876418184,0527jb766,medium,openaire_domain_name
876419833,0259hk390,high,openaire_direct
876456014,05hgh1g19,high,openaire_direct
876536621,05axyfr89,medium,openaire_domain_fuzzy_name
876544672,01c86x832,high,openaire_direct
876621011,04yy24g58,medium,openaire_domain_name
876649820,00hm9kt34,high,openaire_direct
876673488,01mc23556,high,openaire_direct
876682024,010t7sr36,high,openaire_direct
876757296,01dax5b49,high,openaire_direct
876797066,028ahgk39,high,openaire_direct
876801043,00hvwkt50,high,openaire_direct
876831016,03dh5yq48,high,openaire_direct
876853229,05sd9a193,high,openaire_direct
876855751,04vz7gz02,high,openaire_direct
876884657,04yqcxp07,high,openaire_direct
876988932,00zayq578,high,openaire_direct
877019584,00tt5kf04,high,openaire_direct
877027732,0346k0491,medium,openaire_domain_fuzzy_name
877038790,03t4znc65,medium,openaire_domain_name
877102228,047asq971,high,openaire_direct
877159943,00vpq6g39,high,openaire_direct
877256167,03m6vhh37,high,openaire_direct
877276828,00eg59v22,medium,openaire_domain_name
877281678,05k84m754,medium,openaire_domain_fuzzy_name
877294870,01a80cj23,high,openaire_direct
877385662,036z3g533,medium,openaire_domain_fuzzy_name
877401958,03rmwy138,high,openaire_direct
